"","product_id","up_orders","up_first_order","up_last_order","up_average_cart_position","prod_orders","prod_mean_add_to_cart_order","prod_days_since_prior","prod_reorder_probability","prod_reorder_times","prod_reorder_ratio","prod_penetration","prod_double_pntr","user_orders","user_period","user_mean_days_since_prior","weekly_orders","user_total_products","user_reorder_ratio","user_distinct_products","user_average_basket","user_product_diversity","order_id","time_since_last_order","user_order_recency","up_order_rate","up_orders_since_last_order","up_order_rate_since_first_order","reordered","prob","gt","intc","pred","Ps","Rc","f1"
"1","5707",2,2,3,5,1198,11.4983305509182,10.4424934152766,0.411417322834646,2.35826771653543,0.575959933222037,0.00246352002094962,0.00101353481176864,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.666666666666667,0,1,0,0.454264551401138,0,0,1,0,1,0
"2","30881",2,1,3,3.5,828,8.16787439613527,10.225,0.462121212121212,3.13636363636364,0.681159420289855,0.00128025449907618,0.00059163276093672,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.666666666666667,0,0.666666666666667,0,0.425035715103149,0,0,2,0,1,0
"3","44632",1,3,3,3,75886,6.22270247476478,11.4591549690006,0.625798653082369,4.36804236458873,0.771064491474053,0.0842494750471609,0.05272320800741,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.333333333333333,0,1,0,0.34620413184166,0,0,3,0,1,0
"4","44359",2,1,2,6,68091,9.16912660997782,10.6838375027259,0.49359076433121,2.71062898089172,0.631081934470047,0.121818155366643,0.0601283164168392,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.666666666666667,1,0.666666666666667,0,0.328211635351181,0,0,4,0,1,0
"5","2067",1,2,2,7,3138,10.2931803696622,10.0844111640572,0.426375404530744,2.53883495145631,0.606118546845124,0.00599391879112939,0.00255565954929222,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.333333333333333,1,0.5,0,0.156179681420326,0,0,5,0,1,0
"6","None",1,1,1,1,388513,1,13.0296647358259,0.436935342298348,2.88407392499842,1,1,0.436935342298348,3,22,11,0.954545454545455,22,0.769230769230769,13,7.33333333333333,4.33333333333333,1,9,0.818181818181818,0.333333333333333,2,0.333333333333333,0,0.0856267884373665,0,0,6,0,1,0
"7","19660",15,2,21,4.73333333333333,56087,4.54905771390875,10.6392807902242,0.623136100294425,5.3269066388071,0.812273788935047,0.0510598470483829,0.0318172339713592,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.681818181818182,1,0.714285714285714,1,0.495016425848007,2,1,1,1,0.5,0.666666666666667
"8","24964",3,18,22,7.66666666666667,109778,8.76904297764579,10.9776668443755,0.577160757511035,3.12624234657554,0.680127165734482,0.170288396723712,0.0982837800483975,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.136363636363636,0,0.6,0,0.240698873996735,2,1,2,0.5,0.5,0.5
"9","26629",6,2,22,8.16666666666667,5541,10.1819166215485,10.9978723404255,0.389958158995816,2.318410041841,0.568669915177766,0.0115901827757275,0.00451968633764773,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.272727272727273,0,0.285714285714286,0,0.215792119503021,2,1,3,0.333333333333333,0.5,0.4
"10","5450",4,5,21,4,49021,7.48012076457029,10.6720868371375,0.553022302292353,3.04535006522955,0.67163052569307,0.078061578301626,0.04316979375294,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.181818181818182,1,0.222222222222222,0,0.174089536070824,2,1,4,0.25,0.5,0.333333333333333
"11","35939",5,1,22,8.6,20262,9.359737439542,10.8546156656056,0.433181818181818,2.3025,0.565689467969598,0.042675149969206,0.0184860990548424,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.227272727272727,0,0.227272727272727,0,0.167641565203667,2,1,5,0.2,0.5,0.285714285714286
"12","44632",1,22,22,7,75886,6.22270247476478,11.4591549690006,0.625798653082369,4.36804236458873,0.771064491474053,0.0842494750471609,0.05272320800741,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.0454545454545455,0,1,0,0.155901849269867,2,1,6,0.166666666666667,0.5,0.25
"13","21903",3,7,20,9.33333333333333,241921,7.42964025446323,11.1996537033039,0.664225884405037,4.39560659192907,0.772500113673472,0.266899116915363,0.17728130198003,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.136363636363636,2,0.1875,0,0.142497628927231,2,1,7,0.142857142857143,0.5,0.222222222222222
"14","12341",1,22,22,14,50221,5.25561020290317,11.535313391819,0.586729931549471,3.90642501555694,0.744011469305669,0.0623445145459219,0.0365793927520137,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.0454545454545455,0,1,0,0.139031395316124,2,1,8,0.125,0.5,0.2
"15","48679",2,17,21,3.5,51939,9.44590769941662,10.1846507444789,0.535850778620729,2.96269465518225,0.662469435299101,0.0850156879670625,0.0455557225921274,22,315,15,0.488888888888889,189,0.491620111731844,102,8.59090909090909,4.63636363636364,36,30,2,0.0909090909090909,1,0.333333333333333,1,0.124006778001785,2,2,9,0.222222222222222,1,0.363636363636364
